z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
321	5332	4766	668	4643	842	89.38	12.53	87.08	15.79	5688	4849	973	4666	1181	85.25	17.11	82.03	20.76
329.1	5033	4230	837	4023	1069	84.05	16.63	79.93	21.24	5281	4284	1043	4081	1261	81.12	19.75	77.28	23.88
329.2	4689	3886	855	3849	902	82.87	18.23	82.09	19.24	4689	3866	881	3735	1018	82.45	18.79	79.65	21.71
329.3	4918	3612	1339	3542	1410	73.44	27.23	72.02	28.67	4946	3463	1525	3379	1593	70.02	30.83	68.32	32.21
331	7096	6380	834	6301	1001	89.91	11.75	88.80	14.11	7127	6339	935	6233	1097	88.94	13.12	87.46	15.39
332	7332	7025	460	6912	696	95.81	6.27	94.27	9.49	7189	6860	496	6723	765	95.42	6.90	93.52	10.64
337	5385	4631	876	4512	1014	86.00	16.27	83.79	18.83	5550	4570	1084	4435	1221	82.34	19.53	79.91	22.00
342	6239	5573	788	5499	959	89.33	12.63	88.14	15.37	6558	5698	1043	5578	1238	86.89	15.90	85.06	18.88
351.1	6218	4947	1298	4617	1628	79.56	20.87	74.25	26.18	6631	5030	1624	4629	2023	75.86	24.49	69.81	30.51
351.21	5814	4844	1033	4547	1341	83.32	17.77	78.21	23.07	6233	5097	1176	4774	1504	81.77	18.87	76.59	24.13
351.22	4961	4133	841	3868	1106	83.31	16.95	77.97	22.29	5062	4094	973	3784	1281	80.88	19.22	74.75	25.31
351.23	5464	4267	1203	4031	1436	78.09	22.02	73.77	26.28	5913	4484	1432	4210	1707	75.83	24.22	71.20	28.87
351.31	6117	4821	1307	4519	1614	78.81	21.37	73.88	26.39	6500	5010	1496	4714	1805	77.08	23.02	72.52	27.77
351.32	5907	4825	1090	4581	1334	81.68	18.45	77.55	22.58	6373	5098	1280	4850	1529	79.99	20.08	76.10	23.99
351.33	5156	3846	1313	3562	1598	74.59	25.47	69.08	30.99	5719	4195	1528	3888	1834	73.35	26.72	67.98	32.07
351.34	4808	3215	1612	2991	1840	66.87	33.53	62.21	38.27	4790	3095	1707	2908	1894	64.61	35.64	60.71	39.54
351.41	6233	5427	841	5062	1196	87.07	13.49	81.21	19.19	6810	5506	1319	5085	1740	80.85	19.37	74.67	25.55
351.42	5138	4452	738	4185	986	86.65	14.36	81.45	19.19	6054	5051	1032	4777	1309	83.43	17.05	78.91	21.62
351.43	5479	4383	1128	4055	1446	80.00	20.59	74.01	26.39	6029	4418	1635	4113	1928	73.28	27.12	68.22	31.98
351.44	6761	5768	1021	5200	1589	85.31	15.10	76.91	23.50	7290	5784	1531	5211	2099	79.34	21.00	71.48	28.79
351.51	5524	4679	852	4436	1093	84.70	15.42	80.30	19.79	5853	4759	1105	4509	1353	81.31	18.88	77.04	23.12
351.52	4979	3877	1110	3661	1332	77.87	22.29	73.53	26.75	5328	3917	1425	3740	1596	73.52	26.75	70.20	29.95
351.53	6332	5197	1135	4926	1407	82.08	17.92	77.80	22.22	6651	5398	1253	5067	1583	81.16	18.84	76.18	23.80
351.54	5686	4385	1309	4095	1594	77.12	23.02	72.02	28.03	5833	4412	1431	4144	1699	75.64	24.53	71.04	29.13
351.61	4485	2581	1905	2530	1955	57.55	42.47	56.41	43.59	4585	2334	2255	2379	2209	50.91	49.18	51.89	48.18
351.62	5665	3976	1693	3729	1941	70.19	29.89	65.83	34.26	5559	3770	1794	3588	1974	67.82	32.27	64.54	35.51
351.63	5680	3731	1960	3576	2110	65.69	34.51	62.96	37.15	5903	3552	2357	3503	2404	60.17	39.93	59.34	40.73
351.64	6293	4578	1729	4227	2085	72.75	27.47	67.17	33.13	6383	4124	2268	3877	2517	64.61	35.53	60.74	39.43
351.65	4113	2883	1231	2749	1367	70.09	29.93	66.84	33.24	4226	2758	1474	2606	1622	65.26	34.88	61.67	38.38
351.66	4666	3700	1027	3566	1183	79.30	22.01	76.43	25.35	5151	3995	1215	3830	1406	77.56	23.59	74.35	27.30
352	6055	5610	525	5272	875	92.65	8.67	87.07	14.45	6244	5648	687	5290	1063	90.45	11.00	84.72	17.02
353	6762	6256	647	5880	1008	92.52	9.57	86.96	14.91	7122	6409	814	6018	1194	89.99	11.43	84.50	16.76
355.1	7344	6172	1218	5765	1612	84.04	16.58	78.50	21.95	7719	6188	1578	5680	2066	80.17	20.44	73.58	26.77
355.2	6253	5174	1112	4872	1403	82.74	17.78	77.91	22.44	6492	5231	1308	4879	1630	80.58	20.15	75.15	25.11
355.3	4669	3678	1014	3465	1223	78.77	21.72	74.21	26.19	4863	3710	1171	3465	1415	76.29	24.08	71.25	29.10
355.4	6170	5232	982	4857	1340	84.80	15.92	78.72	21.72	6375	5152	1266	4801	1606	80.82	19.86	75.31	25.19
355.5	5010	4304	723	4135	898	85.91	14.43	82.53	17.92	5168	4238	950	4058	1133	82.00	18.38	78.52	21.92
355.6	5719	4655	1130	4468	1339	81.40	19.76	78.13	23.41	6129	4724	1485	4555	1663	77.08	24.23	74.32	27.13
355.7	4946	4629	414	4477	591	93.59	8.37	90.52	11.95	4836	4393	550	4221	737	90.84	11.37	87.28	15.24
356.1	6205	5583	711	5085	1194	89.98	11.46	81.95	19.24	6486	5487	1066	4913	1630	84.60	16.44	75.75	25.13
356.2	6212	5490	807	5104	1176	88.38	12.99	82.16	18.93	6444	5332	1161	4915	1581	82.74	18.02	76.27	24.53
359	7564	6969	742	6699	1064	92.13	9.81	88.56	14.07	8233	7402	988	7127	1299	89.91	12.00	86.57	15.78
360.1	5704	5128	637	4785	986	89.90	11.17	83.89	17.29	5739	4982	833	4656	1162	86.81	14.51	81.13	20.25
360.2	5568	5283	422	5111	651	94.88	7.58	91.79	11.69	5700	5323	535	5150	783	93.39	9.39	90.35	13.74
361.1	5714	4235	1500	4034	1698	74.12	26.25	70.60	29.72	6116	4303	1833	4061	2070	70.36	29.97	66.40	33.85
361.2	4386	3950	487	3798	646	90.06	11.10	86.59	14.73	4417	3825	639	3654	812	86.60	14.47	82.73	18.38
362.1	5281	4175	1141	3920	1396	79.06	21.61	74.23	26.43	5348	4008	1371	3763	1614	74.94	25.64	70.36	30.18
362.2	5178	4236	970	4039	1157	81.81	18.73	78.00	22.34	5206	3997	1234	3775	1444	76.78	23.70	72.51	27.74
363.1	5062	3796	1270	3587	1483	74.99	25.09	70.86	29.30	5210	3578	1637	3478	1741	68.68	31.42	66.76	33.42
363.2	5596	4367	1240	4164	1443	78.04	22.16	74.41	25.79	6027	4299	1742	4095	1948	71.33	28.90	67.94	32.32
363.3	4827	3636	1209	3408	1436	75.33	25.05	70.60	29.75	5041	3586	1476	3357	1700	71.14	29.28	66.59	33.72
371.1	5982	4150	1842	3944	2047	69.37	30.79	65.93	34.22	6571	4301	2275	4033	2543	65.45	34.62	61.38	38.70
371.2	5360	3938	1432	3730	1639	73.47	26.72	69.59	30.58	5434	3758	1682	3549	1887	69.16	30.95	65.31	34.73
371.3	3927	3486	522	3274	714	88.77	13.29	83.37	18.18	4097	3549	616	3280	885	86.62	15.04	80.06	21.60
371.4	7258	4392	2872	4175	3085	60.51	39.57	57.52	42.50	8218	4650	3578	4459	3764	56.58	43.54	54.26	45.80
371.5	5621	4387	1255	4111	1519	78.05	22.33	73.14	27.02	6018	4334	1692	4120	1903	72.02	28.12	68.46	31.62
371.6	5054	3454	1607	3319	1744	68.34	31.80	65.67	34.51	4947	3114	1845	3014	1941	62.95	37.30	60.93	39.24
371.7	5984	4316	1677	4146	1844	72.13	28.02	69.28	30.82	6085	4088	2007	3950	2137	67.18	32.98	64.91	35.12
371.8	4845	3117	1747	3066	1795	64.33	36.06	63.28	37.05	5121	3026	2109	3032	2108	59.09	41.18	59.21	41.16
371.9	5701	4264	1454	4086	1625	74.79	25.50	71.67	28.50	5606	3895	1719	3760	1851	69.48	30.66	67.07	33.02
372	4423	4035	507	3771	808	91.23	11.46	85.26	18.27	4450	3950	628	3678	937	88.76	14.11	82.65	21.06
383	7657	6979	846	6837	1128	91.15	11.05	89.29	14.73	8024	7097	1131	6900	1426	88.45	14.10	85.99	17.77
384	8318	6600	1823	6451	1986	79.35	21.92	77.55	23.88	9239	6897	2456	6708	2636	74.65	26.58	72.61	28.53
385	5124	4826	427	4683	645	94.18	8.33	91.39	12.59	5434	5009	580	4863	779	92.18	10.67	89.49	14.34
404.1	4989	4041	977	3720	1294	81.00	19.58	74.56	25.94	5368	4211	1192	3895	1493	78.45	22.21	72.56	27.81
404.2	5168	4534	689	4273	952	87.73	13.33	82.68	18.42	5357	4598	814	4294	1113	85.83	15.20	80.16	20.78
404.3	5123	4733	444	4465	733	92.39	8.67	87.16	14.31	5317	4819	553	4498	896	90.63	10.40	84.60	16.85
406.1	6322	5717	722	5601	891	90.43	11.42	88.60	14.09	6517	5759	883	5589	1109	88.37	13.55	85.76	17.02
409.1	5867	5544	443	5407	646	94.49	7.55	92.16	11.01	6183	5691	641	5542	838	92.04	10.37	89.63	13.55
413	4827	4594	340	4486	503	95.17	7.04	92.94	10.42	4909	4674	355	4543	554	95.21	7.23	92.54	11.29
425	5296	4631	730	4537	857	87.44	13.78	85.67	16.18	5554	4738	877	4614	1011	85.31	15.79	83.08	18.20
434	4999	4477	665	4271	903	89.56	13.30	85.44	18.06	5049	4353	824	4117	1083	86.22	16.32	81.54	21.45
443	7458	6084	1533	5909	1756	81.58	20.56	79.23	23.55	7742	5997	1876	5797	2128	77.46	24.23	74.88	27.49
444	4600	4025	703	3848	932	87.50	15.28	83.65	20.26	4747	3959	919	3812	1091	83.40	19.36	80.30	22.98
446	7859	6756	1233	6505	1546	85.97	15.69	82.77	19.67	8144	6535	1724	6313	2001	80.24	21.17	77.52	24.57
492	4566	4064	665	3885	904	89.01	14.56	85.09	19.80	4964	4251	853	4062	1092	85.64	17.18	81.83	22.00
496	6607	5526	1232	5470	1329	83.64	18.65	82.79	20.12	6961	5529	1554	5531	1608	79.43	22.32	79.46	23.10
533	7162	6814	506	6593	802	95.14	7.07	92.06	11.20	7251	6801	630	6560	909	93.79	8.69	90.47	12.54
538	7229	6415	948	6264	1143	88.74	13.11	86.65	15.81	7634	6641	1146	6469	1343	86.99	15.01	84.74	17.59
540	5830	5405	505	5211	745	92.71	8.66	89.38	12.78	6062	5513	643	5260	922	90.94	10.61	86.77	15.21
544.1	6576	5511	1110	5237	1396	83.80	16.88	79.64	21.23	6906	5546	1408	5271	1705	80.31	20.39	76.32	24.69
546.1	6328	5635	770	5341	1048	89.05	12.17	84.40	16.56	6552	5667	934	5349	1260	86.49	14.26	81.64	19.23
551	5741	4830	970	4546	1261	84.13	16.90	79.18	21.96	6180	5065	1182	4773	1470	81.96	19.13	77.23	23.79
553	5431	5057	481	4901	675	93.11	8.86	90.24	12.43	5684	5206	604	5035	781	91.59	10.63	88.58	13.74
561	5771	5285	671	5137	915	91.58	11.63	89.01	15.86	5507	4974	729	4844	939	90.32	13.24	87.96	17.05
562	8097	7714	609	7494	924	95.27	7.52	92.55	11.41	8416	7891	777	7617	1132	93.76	9.23	90.51	13.45
563	6835	6425	527	6301	722	94.00	7.71	92.19	10.56	6824	6360	579	6214	794	93.20	8.48	91.06	11.64
573	7042	6465	750	6191	1092	91.81	10.65	87.92	15.51	7057	6330	919	6055	1230	89.70	13.02	85.80	17.43
576	4980	4233	937	4154	1102	85.00	18.82	83.41	22.13	4871	3960	1111	3872	1279	81.30	22.81	79.49	26.26
581	5002	3679	1362	3469	1591	73.55	27.23	69.35	31.81	5196	3532	1711	3355	1914	67.98	32.93	64.57	36.84
584	5281	4476	964	4355	1124	84.76	18.25	82.47	21.28	5226	4230	1146	4118	1305	80.94	21.93	78.80	24.97
587	7219	6330	996	6068	1252	87.69	13.80	84.06	17.34	7525	6434	1190	6131	1492	85.50	15.81	81.48	19.83
593	5876	5080	887	4893	1081	86.45	15.10	83.27	18.40	6062	5054	1075	4817	1316	83.37	17.73	79.46	21.71
603	5922	5683	355	5581	540	95.96	5.99	94.24	9.12	5824	5516	455	5406	634	94.71	7.81	92.82	10.89
608	7055	6638	555	6452	795	94.09	7.87	91.45	11.27	7229	6722	645	6491	927	92.99	8.92	89.79	12.82
612	5424	5039	464	4916	660	92.90	8.55	90.63	12.17	5752	5232	599	5082	800	90.96	10.41	88.35	13.91
616.1	5273	4738	600	4554	795	89.85	11.38	86.36	15.08	5222	4532	752	4379	906	86.79	14.40	83.86	17.35
616.2	5482	5029	496	4823	716	91.74	9.05	87.98	13.06	6121	5534	634	5249	910	90.41	10.36	85.75	14.87
619	7045	6746	439	6575	689	95.76	6.23	93.33	9.78	7035	6587	590	6419	821	93.63	8.39	91.24	11.67
623.1	5141	4819	421	4637	658	93.74	8.19	90.20	12.80	5276	4932	450	4709	741	93.48	8.53	89.25	14.04
627.1	5183	4499	742	4334	923	86.80	14.32	83.62	17.81	5139	4270	926	4099	1089	83.09	18.02	79.76	21.19
627.2	4936	4171	820	3989	1001	84.50	16.61	80.81	20.28	5006	4041	1029	3817	1241	80.72	20.56	76.25	24.79
632	6597	6279	423	6104	698	95.18	6.41	92.53	10.58	6875	6478	519	6296	757	94.23	7.55	91.58	11.01
667	7108	6468	786	6283	987	91.00	11.06	88.39	13.89	7729	6729	1145	6437	1440	87.06	14.81	83.28	18.63
668	7094	6622	716	6501	938	93.35	10.09	91.64	13.22	7118	6457	933	6336	1137	90.71	13.11	89.01	15.97
682	5634	5115	670	4967	969	90.79	11.89	88.16	17.20	5579	4884	878	4725	1124	87.54	15.74	84.69	20.15
700	7484	5737	1822	5618	1972	76.66	24.35	75.07	26.35	7496	5412	2150	5327	2254	72.20	28.68	71.06	30.07
703	6484	5624	1034	5529	1221	86.74	15.95	85.27	18.83	6627	5509	1272	5405	1467	83.13	19.19	81.56	22.14
723	4963	4301	754	4105	1001	86.66	15.19	82.71	20.17	5140	4402	834	4182	1082	85.64	16.23	81.36	21.05
732	5773	5506	383	5346	644	95.38	6.63	92.60	11.16	6003	5652	500	5463	763	94.15	8.33	91.00	12.71
733	6724	5473	1341	5236	1580	81.40	19.94	77.87	23.50	6967	5445	1616	5165	1888	78.15	23.20	74.14	27.10
739	7429	6605	940	6228	1293	88.91	12.65	83.83	17.40	7724	6711	1092	6309	1488	86.89	14.14	81.68	19.26
743	6793	5320	1505	4992	1828	78.32	22.16	73.49	26.91	6908	5105	1842	4868	2070	73.90	26.66	70.47	29.97
744	5901	5232	781	5093	951	88.66	13.24	86.31	16.12	6167	5264	990	5125	1150	85.36	16.05	83.10	18.65
749	4946	4408	619	4261	764	89.12	12.52	86.15	15.45	5322	4515	862	4342	1057	84.84	16.20	81.59	19.86
751	6798	6400	572	6139	926	94.15	8.41	90.31	13.62	6997	6471	718	6177	1079	92.48	10.26	88.28	15.42
768.1	5706	5243	580	5009	827	91.89	10.16	87.78	14.49	5757	5175	702	4892	983	89.89	12.19	84.97	17.07
768.2	6653	6081	682	5831	966	91.40	10.25	87.64	14.52	6776	6036	845	5747	1137	89.08	12.47	84.81	16.78
769	7680	7356	477	7205	747	95.78	6.21	93.82	9.73	7798	7388	597	7202	896	94.74	7.66	92.36	11.49
785	7996	6986	1216	6771	1524	87.37	15.21	84.68	19.06	7852	6694	1384	6481	1726	85.25	17.63	82.54	21.98
791	7221	6946	463	6811	737	96.19	6.41	94.32	10.21	6980	6687	500	6556	811	95.80	7.16	93.93	11.62
794	6971	6308	915	6192	1153	90.49	13.13	88.83	16.54	6662	5890	1047	5763	1249	88.41	15.72	86.51	18.75
843	9087	7177	2293	7023	2569	78.98	25.23	77.29	28.27	8609	6581	2451	6400	2713	76.44	28.47	74.34	31.51
855.1	5459	5185	380	5025	566	94.98	6.96	92.05	10.37	5686	5283	512	5086	714	92.91	9.00	89.45	12.56
855.2	5044	4941	211	4873	359	97.96	4.18	96.61	7.12	4789	4617	312	4570	450	96.41	6.51	95.43	9.40
861.1	4901	4314	644	4198	763	88.02	13.14	85.66	15.57	5102	4428	741	4318	849	86.79	14.52	84.63	16.64
861.2	5297	4717	617	4487	861	89.05	11.65	84.71	16.25	5820	4983	876	4706	1162	85.62	15.05	80.86	19.97
870	5340	4590	833	4359	1072	85.96	15.60	81.63	20.07	5497	4374	1202	4234	1366	79.57	21.87	77.02	24.85
879	5992	5791	362	5674	576	96.65	6.04	94.69	9.61	5912	5607	463	5449	726	94.84	7.83	92.17	12.28
883	5854	5592	377	5438	607	95.52	6.44	92.89	10.37	5899	5594	413	5416	673	94.83	7.00	91.81	11.41
884	6572	6179	549	6010	817	94.02	8.35	91.45	12.43	6975	6479	648	6249	951	92.89	9.29	89.59	13.63
886	6618	6434	312	6256	581	97.22	4.71	94.53	8.78	6956	6707	396	6499	682	96.42	5.69	93.43	9.80
902.1	6920	6509	516	6248	804	94.06	7.46	90.29	11.62	7116	6586	653	6320	932	92.55	9.18	88.81	13.10
903	5346	5211	247	5119	417	97.47	4.62	95.75	7.80	5145	4973	315	4900	455	96.66	6.12	95.24	8.84
907	7763	7584	287	7470	487	97.69	3.70	96.23	6.27	7350	7069	407	6979	569	96.18	5.54	94.95	7.74
908.1	5126	4872	348	4805	458	95.04	6.79	93.74	8.93	4874	4595	374	4520	493	94.28	7.67	92.74	10.11
928	6154	5626	597	5348	872	91.42	9.70	86.90	14.17	6499	5759	806	5450	1109	88.61	12.40	83.86	17.06
929	5951	5490	569	5180	863	92.25	9.56	87.04	14.50	6190	5618	687	5271	1019	90.76	11.10	85.15	16.46
938	5388	4876	694	4705	913	90.50	12.88	87.32	16.95	5482	4926	752	4684	1054	89.86	13.72	85.44	19.23
939.1	5085	4624	500	4506	637	90.93	9.83	88.61	12.53	5120	4616	536	4470	701	90.16	10.47	87.30	13.69
939.2	4514	4300	286	4154	463	95.26	6.34	92.02	10.26	4741	4448	385	4288	555	93.82	8.12	90.45	11.71
939.3	5063	4381	729	4221	879	86.53	14.40	83.37	17.36	5029	4294	776	4112	950	85.38	15.43	81.77	18.89
942.1	6084	5409	755	5119	1052	88.91	12.41	84.14	17.29	6240	5433	876	5140	1184	87.07	14.04	82.37	18.97
942.2	5597	4842	781	4578	1055	86.51	13.95	81.79	18.85	5996	5051	981	4751	1274	84.24	16.36	79.24	21.25
942.3	4020	3506	532	3274	762	87.21	13.23	81.44	18.96	3947	3362	598	3165	797	85.18	15.15	80.19	20.19
942.4	6345	5539	828	5179	1177	87.30	13.05	81.62	18.55	6353	5421	953	5043	1317	85.33	15.00	79.38	20.73
942.5	5043	4467	610	4197	879	88.58	12.10	83.22	17.43	4950	4335	652	4055	921	87.58	13.17	81.92	18.61
942.6	5324	4768	598	4481	884	89.56	11.23	84.17	16.60	5273	4652	684	4331	993	88.22	12.97	82.14	18.83
942.7	5379	4762	647	4481	922	88.53	12.03	83.31	17.14	5325	4622	726	4351	995	86.80	13.63	81.71	18.69
942.8	5264	4595	710	4358	952	87.29	13.49	82.79	18.09	5333	4668	714	4398	970	87.53	13.39	82.47	18.19
944	7757	7365	501	7130	764	94.95	6.46	91.92	9.85	7861	7306	664	7077	923	92.94	8.45	90.03	11.74
945	6520	6355	315	6243	530	97.47	4.83	95.75	8.13	6438	6233	388	6138	580	96.82	6.03	95.34	9.01
953	4990	4872	224	4826	337	97.64	4.49	96.71	6.75	4867	4660	320	4616	405	95.75	6.57	94.84	8.32
954	4696	4275	486	4192	638	91.03	10.35	89.27	13.59	4733	4144	659	4064	769	87.56	13.92	85.87	16.25
955	7844	7529	495	7331	768	95.98	6.31	93.46	9.79	7916	7540	559	7338	832	95.25	7.06	92.70	10.51
957	5189	4904	380	4782	570	94.51	7.32	92.16	10.98	4984	4698	422	4573	600	94.26	8.47	91.75	12.04
979	7085	6020	1152	5903	1291	84.97	16.26	83.32	18.22	7359	6148	1308	6009	1457	83.54	17.77	81.66	19.80
982	5944	4940	1125	4842	1287	83.11	18.93	81.46	21.65	6641	5229	1529	5085	1727	78.74	23.02	76.57	26.01
988	8145	7906	444	7798	664	97.07	5.45	95.74	8.15	8057	7701	577	7594	814	95.58	7.16	94.25	10.10
992	7435	6717	857	6488	1177	90.34	11.53	87.26	15.83	7830	6931	1102	6695	1411	88.52	14.07	85.50	18.02
1002	7421	6908	642	6840	766	93.09	8.65	92.17	10.32	7437	6699	867	6628	978	90.08	11.66	89.12	13.15
1003	6504	5958	663	5922	779	91.61	10.19	91.05	11.98	6233	5595	762	5519	896	89.76	12.23	88.54	14.38
1008	7316	7024	409	6970	530	96.01	5.59	95.27	7.24	7090	6614	584	6566	682	93.29	8.24	92.61	9.62
1023	4871	4586	407	4526	500	94.15	8.36	92.92	10.26	5165	4749	549	4645	674	91.95	10.63	89.93	13.05
1024.1	5901	4088	1871	4330	1630	69.28	31.71	73.38	27.62	6624	4411	2255	4543	2139	66.59	34.04	68.58	32.29
1024.2	7323	4095	3245	4352	2988	55.92	44.31	59.43	40.80	7636	4142	3511	4305	3347	54.24	45.98	56.38	43.83
1024.3	5056	4184	905	4175	924	82.75	17.90	82.58	18.28	5303	4298	1043	4224	1116	81.05	19.67	79.65	21.04
1024.4	4726	2744	1987	2946	1791	58.06	42.04	62.34	37.90	5048	2825	2236	2988	2074	55.96	44.29	59.19	41.09
1024.5	4811	3759	1070	3770	1051	78.13	22.24	78.36	21.85	4945	3667	1287	3665	1282	74.16	26.03	74.12	25.93
1026	6811	6180	756	5999	963	90.74	11.10	88.08	14.14	7303	6381	1065	6213	1252	87.38	14.58	85.07	17.14
1030	7902	7045	1055	6944	1233	89.15	13.35	87.88	15.60	8534	7446	1301	7227	1588	87.25	15.24	84.68	18.61
1031	8709	7025	1754	7074	1713	80.66	20.14	81.23	19.67	9460	7339	2168	7379	2141	77.58	22.92	78.00	22.63
1037	7105	6674	587	6575	730	93.93	8.26	92.54	10.27	7638	7064	730	6907	926	92.48	9.56	90.43	12.12
1041	7066	6491	643	6330	820	91.86	9.10	89.58	11.60	7157	6494	736	6273	986	90.74	10.28	87.65	13.78
1051	5516	4970	626	4659	922	90.10	11.35	84.46	16.72	5368	4800	632	4480	957	89.42	11.77	83.46	17.83
1052	5232	4395	882	4358	935	84.00	16.86	83.30	17.87	5508	4562	1007	4344	1208	82.82	18.28	78.87	21.93
1054.1	7347	5927	1470	5611	1804	80.67	20.01	76.37	24.55	7602	6069	1582	5588	2077	79.83	20.81	73.51	27.32
1054.2	5190	3894	1338	3817	1423	75.03	25.78	73.55	27.42	5585	4267	1357	3923	1707	76.40	24.30	70.24	30.56
1058.1	7679	6476	1250	6098	1631	84.33	16.28	79.41	21.24	7827	6551	1322	6107	1771	83.70	16.89	78.02	22.63
1058.2	6735	5569	1261	5203	1632	82.69	18.72	77.25	24.23	6942	5663	1353	5298	1731	81.58	19.49	76.32	24.94
1059.1	3535	2758	790	2657	883	78.02	22.35	75.16	24.98	3972	2958	1019	2763	1214	74.47	25.65	69.56	30.56
1059.2	5081	4084	1008	3951	1146	80.38	19.84	77.76	22.55	4966	4006	982	3747	1234	80.67	19.77	75.45	24.85
1059.3	5400	4449	992	4267	1163	82.39	18.37	79.02	21.54	5897	4759	1164	4476	1455	80.70	19.74	75.90	24.67
1059.4	6656	5466	1216	5258	1420	82.12	18.27	79.00	21.33	6537	5275	1288	4908	1649	80.69	19.70	75.08	25.23
1059.5	5788	5256	599	5089	766	90.81	10.35	87.92	13.23	5641	5134	578	4893	808	91.01	10.25	86.74	14.32
1061.01	6502	5326	1202	4885	1648	81.91	18.49	75.13	25.35	6724	5233	1520	4788	1963	77.83	22.61	71.21	29.19
1061.03	4437	3817	660	3527	945	86.03	14.87	79.49	21.30	4580	3739	869	3444	1157	81.64	18.97	75.20	25.26
1061.05	4539	3783	773	3509	1055	83.34	17.03	77.31	23.24	4708	3869	856	3593	1135	82.18	18.18	76.32	24.11
1061.08	6053	4568	1499	4243	1821	75.47	24.76	70.10	30.08	6277	4512	1784	4170	2121	71.88	28.42	66.43	33.79
1061.09	4744	3956	802	3711	1045	83.39	16.91	78.23	22.03	4793	3982	822	3710	1094	83.08	17.15	77.40	22.82
1061.11	3839	2409	1433	2261	1582	62.75	37.33	58.90	41.21	4141	2505	1640	2357	1787	60.49	39.60	56.92	43.15
1061.13	4984	4350	662	4075	920	87.28	13.28	81.76	18.46	5009	4257	764	3987	1031	84.99	15.25	79.60	20.58
1061.16	4954	3690	1265	3309	1646	74.49	25.53	66.79	33.23	4767	3614	1153	3264	1504	75.81	24.19	68.47	31.55
1061.17	4134	3479	665	3182	959	84.16	16.09	76.97	23.20	4621	3865	765	3508	1116	83.64	16.55	75.91	24.15
1061.18	6122	5273	866	4918	1210	86.13	14.15	80.33	19.76	6338	5397	952	5006	1337	85.15	15.02	78.98	21.09
1061.19	4993	4439	575	4118	890	88.90	11.52	82.48	17.82	5076	4363	723	3994	1089	85.95	14.24	78.68	21.45
1061.21	7239	4951	2320	5017	2271	68.39	32.05	69.31	31.37	7698	5440	2296	5125	2609	70.67	29.83	66.58	33.89
1061.22	5597	2555	3049	2755	2850	45.65	54.48	49.22	50.92	5899	2777	3125	2697	3206	47.08	52.98	45.72	54.35
1061.24	7064	4772	2300	4777	2302	67.55	32.56	67.62	32.59	6903	4868	2041	4543	2368	70.52	29.57	65.81	34.30
1062	6782	6096	792	6021	889	89.88	11.68	88.78	13.11	7035	6181	972	6048	1144	87.86	13.82	85.97	16.26
1063	6999	6112	1023	5744	1391	87.33	14.62	82.07	19.87	7340	6214	1227	5790	1644	84.66	16.72	78.88	22.40
1065	4741	3613	1170	3528	1258	76.21	24.68	74.41	26.53	4802	3616	1216	3487	1349	75.30	25.32	72.62	28.09
1067	4855	4276	677	4093	912	88.07	13.94	84.30	18.78	4861	4196	773	3976	1014	86.32	15.90	81.79	20.86
1069	5650	4628	1164	4360	1489	81.91	20.60	77.17	26.35	5780	4622	1304	4284	1656	79.97	22.56	74.12	28.65
1081	7787	6788	1166	6758	1227	87.17	14.97	86.79	15.76	8174	6839	1506	6795	1588	83.67	18.42	83.13	19.43
1082	4601	3558	1090	3544	1131	77.33	23.69	77.03	24.58	5082	3821	1319	3768	1391	75.19	25.95	74.14	27.37
1083	6158	5476	800	5544	771	88.92	12.99	90.03	12.52	6263	5491	905	5523	903	87.67	14.45	88.18	14.42
1089	6210	5299	1045	5291	1082	85.33	16.83	85.20	17.42	7012	5969	1174	5810	1348	85.13	16.74	82.86	19.22
1093	6115	5593	624	5495	755	91.46	10.20	89.86	12.35	6517	5832	808	5638	1011	89.49	12.40	86.51	15.51
1095	7747	6856	1017	6792	1094	88.50	13.13	87.67	14.12	8342	7303	1158	7134	1339	87.54	13.88	85.52	16.05
1098	6611	6220	501	6116	619	94.09	7.58	92.51	9.36	6737	6190	666	6063	857	91.88	9.89	90.00	12.72
1102	8195	7724	589	7494	870	94.25	7.19	91.45	10.62	8349	7781	746	7517	1010	93.20	8.94	90.03	12.10
1103	8224	6952	1338	6696	1591	84.53	16.27	81.42	19.35	8676	7275	1445	6951	1782	83.85	16.66	80.12	20.54
1104	5107	4095	1110	4167	1054	80.18	21.73	81.59	20.64	5278	4023	1350	4131	1267	76.22	25.58	78.27	24.01
1107	6720	5942	863	5874	964	88.42	12.84	87.41	14.35	6584	5628	1053	5501	1226	85.48	15.99	83.55	18.62
1125	5022	4441	658	4375	745	88.43	13.10	87.12	14.83	5202	4393	887	4358	937	84.45	17.05	83.78	18.01
1137	4448	3678	862	3702	832	82.69	19.38	83.23	18.71	4732	3713	1103	3766	1060	78.47	23.31	79.59	22.40
1139	5419	4977	540	4889	697	91.84	9.96	90.22	12.86	5714	5056	769	4925	943	88.48	13.46	86.19	16.50
1140	8078	6481	1708	6519	1764	80.23	21.14	80.70	21.84	8573	6637	2054	6638	2107	77.42	23.96	77.43	24.58
