z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
6621.214	5559	3499	2061	2850	2710	62.94	37.08	51.27	48.75	5524	3300	2227	2683	2845	59.74	40.31	48.57	51.50
6621.221	7872	4659	3215	3563	4309	59.18	40.84	45.26	54.74	8172	4447	3727	3403	4770	54.42	45.61	41.64	58.37
6621.222	6481	4004	2484	3017	3470	61.78	38.33	46.55	53.54	7142	4270	2878	3303	3844	59.79	40.30	46.25	53.82
6621.31	4827	2164	2667	1724	3104	44.83	55.25	35.72	64.30	5277	2419	2858	1930	3348	45.84	54.16	36.57	63.45
6621.32	5366	3082	2287	2480	2890	57.44	42.62	46.22	53.86	5481	3079	2406	2451	3030	56.18	43.90	44.72	55.28
6621.33	4487	2350	2137	1924	2563	52.37	47.63	42.88	57.12	5203	2565	2638	2119	3084	49.30	50.70	40.73	59.27
6621.341	4618	2354	2271	1827	2798	50.97	49.18	39.56	60.59	5193	2712	2487	2139	3064	52.22	47.89	41.19	59.00
6621.342	4662	2862	1804	2102	2561	61.39	38.70	45.09	54.93	4891	2882	2011	2146	2745	58.92	41.12	43.88	56.12
6621.343	4141	2604	1547	2111	2042	62.88	37.36	50.98	49.31	4572	2757	1822	2216	2363	60.30	39.85	48.47	51.68
6621.351	7184	3365	3819	2728	4457	46.84	53.16	37.97	62.04	7395	3390	4005	2706	4690	45.84	54.16	36.59	63.42
6621.352	5637	2727	2910	2325	3312	48.38	51.62	41.25	58.75	5914	2874	3040	2376	3539	48.60	51.40	40.18	59.84
6621.353	4336	2342	1993	1918	2418	54.01	45.96	44.23	55.77	4671	2584	2087	2041	2631	55.32	44.68	43.70	56.33
6621.354	5140	3457	1689	3014	2131	67.26	32.86	58.64	41.46	6003	3958	2054	3381	2629	65.93	34.22	56.32	43.79
6621.361	6693	3896	2797	3358	3335	58.21	41.79	50.17	49.83	7100	3947	3154	3430	3670	55.59	44.42	48.31	51.69
6621.362	5831	3378	2459	3162	2672	57.93	42.17	54.23	45.82	6012	3532	2482	3161	2853	58.75	41.28	52.58	47.46
6622.1	5122	3517	1732	3026	2281	68.66	33.81	59.08	44.53	5225	3519	1842	3010	2390	67.35	35.25	57.61	45.74
6623.1	5927	3543	2400	2882	3067	59.78	40.49	48.62	51.75	6363	3680	2710	2949	3444	57.83	42.59	46.35	54.13
6623.2	4746	2584	2165	2020	2727	54.45	45.62	42.56	57.46	5080	2923	2160	2197	2885	57.54	42.52	43.25	56.79
6628.1	4504	3179	1337	2776	1738	70.58	29.68	61.63	38.59	5360	3711	1662	3211	2160	69.24	31.01	59.91	40.30
6628.2	3323	2348	984	2082	1255	70.66	29.61	62.65	37.77	3424	2407	1026	2103	1339	70.30	29.96	61.42	39.11
6628.3	6175	4092	2103	3615	2575	66.27	34.06	58.54	41.70	6626	4372	2270	3806	2831	65.98	34.26	57.44	42.73
6628.4	6447	4244	2210	3677	2782	65.83	34.28	57.03	43.15	6855	4465	2402	3793	3077	65.13	35.04	55.33	44.89
6628.5	5213	2937	2288	2682	2545	56.34	43.89	51.45	48.82	5518	3091	2438	2776	2761	56.02	44.18	50.31	50.04
6630.1	6053	3655	2430	3228	2869	60.38	40.15	53.33	47.40	6526	3980	2575	3482	3078	60.99	39.46	53.36	47.17
6630.2	4223	2715	1537	2260	2015	64.29	36.40	53.52	47.71	4393	2747	1675	2278	2151	62.53	38.13	51.86	48.96
6630.3	5387	2651	2736	2263	3123	49.21	50.79	42.01	57.97	5619	2752	2867	2398	3220	48.98	51.02	42.68	57.31
6630.4	5250	2874	2376	2397	2853	54.74	45.26	45.66	54.34	5465	3015	2450	2486	2978	55.17	44.83	45.49	54.49
6631.1	7177	4936	2277	4345	2855	68.78	31.73	60.54	39.78	7653	5181	2500	4495	3187	67.70	32.67	58.74	41.64
6631.2	6078	4153	1931	3572	2515	68.33	31.77	58.77	41.38	6307	4193	2122	3568	2750	66.48	33.65	56.57	43.60
6631.3	4384	2321	2063	2132	2254	52.94	47.06	48.63	51.41	4899	2619	2280	2338	2562	53.46	46.54	47.72	52.30
6633.1	5350	3959	1425	3676	1712	74.00	26.64	68.71	32.00	5565	4279	1325	3782	1815	76.89	23.81	67.96	32.61
6633.2	6759	4886	1912	4357	2439	72.29	28.29	64.46	36.09	7264	5161	2140	4522	2775	71.05	29.46	62.25	38.20
6634	7007	4003	3103	3334	3794	57.13	44.28	47.58	54.15	7290	4137	3228	3425	3947	56.75	44.28	46.98	54.14
6636	4122	3392	824	3013	1231	82.29	19.99	73.10	29.86	4394	3572	907	3105	1399	81.29	20.64	70.66	31.84
6638	6604	4990	1724	4613	2160	75.56	26.11	69.85	32.71	7154	5407	1856	4924	2375	75.58	25.94	68.83	33.20
6640.1	6730	4483	2268	3729	3023	66.61	33.70	55.41	44.92	6746	4462	2311	3609	3155	66.14	34.26	53.50	46.77
6640.2	5824	3852	2026	3173	2695	66.14	34.79	54.48	46.27	6185	4110	2121	3276	2942	66.45	34.29	52.97	47.57
6641	4595	3650	1025	3200	1495	79.43	22.31	69.64	32.54	4724	3719	1082	3216	1571	78.73	22.90	68.08	33.26
6642	5542	4175	1516	3580	2180	75.33	27.35	64.60	39.34	5468	4155	1484	3438	2252	75.99	27.14	62.87	41.19
6643.1	4778	2506	2302	2324	2491	52.45	48.18	48.64	52.13	4811	2480	2351	2280	2578	51.55	48.87	47.39	53.59
6643.2	5351	3161	2217	2798	2591	59.07	41.43	52.29	48.42	5228	3137	2120	2693	2561	60.00	40.55	51.51	48.99
6643.3	5164	2896	2273	2373	2791	56.08	44.02	45.95	54.05	5428	3181	2247	2546	2884	58.60	41.40	46.90	53.13
6643.4	4764	2620	2149	2218	2552	55.00	45.11	46.56	53.57	4904	2727	2185	2287	2622	55.61	44.56	46.64	53.47
6643.5	8582	4877	3748	4299	4325	56.83	43.67	50.09	50.40	8879	5009	3922	4280	4635	56.41	44.17	48.20	52.20
6643.6	3259	1786	1475	1566	1697	54.80	45.26	48.05	52.07	3376	1873	1510	1604	1779	55.48	44.73	47.51	52.70
6644.1	5735	3457	2284	2967	2780	60.28	39.83	51.73	48.47	5878	3556	2338	2903	2988	60.50	39.78	49.39	50.83
6644.2	6340	3477	2887	3117	3254	54.84	45.54	49.16	51.32	6468	3516	2981	3067	3432	54.36	46.09	47.42	53.06
6645.1	4285	3251	1077	2829	1494	75.87	25.13	66.02	34.87	4764	3545	1257	3007	1782	74.41	26.39	63.12	37.41
6645.2	5365	3940	1479	3433	1981	73.44	27.57	63.99	36.92	5772	4166	1657	3564	2240	72.18	28.71	61.75	38.81
6701	6202	5408	953	5266	1205	87.20	15.37	84.91	19.43	6316	5411	1090	5241	1331	85.67	17.26	82.98	21.07
6708	4030	3492	629	3457	684	86.65	15.61	85.78	16.97	4384	3644	837	3623	878	83.12	19.09	82.64	20.03
6709	4814	4375	568	4232	779	90.88	11.80	87.91	16.18	4843	4270	702	4126	924	88.17	14.50	85.20	19.08
6710	5363	4766	718	4665	884	88.87	13.39	86.98	16.48	5529	4823	839	4703	994	87.23	15.17	85.06	17.98
6711.1	6577	5431	1227	5195	1496	82.58	18.66	78.99	22.75	7072	5521	1639	5275	1890	78.07	23.18	74.59	26.73
6711.2	5057	3384	1716	3297	1798	66.92	33.93	65.20	35.55	5328	3439	1920	3278	2079	64.55	36.04	61.52	39.02
6727	4065	3854	308	3767	487	94.81	7.58	92.67	11.98	4042	3805	369	3699	507	94.14	9.13	91.51	12.54
6754	4892	4348	674	4200	916	88.88	13.78	85.85	18.72	5048	4453	744	4269	993	88.21	14.74	84.57	19.67
6757	5325	4995	468	4851	717	93.80	8.79	91.10	13.46	5256	4912	506	4731	758	93.46	9.63	90.01	14.42
6771	6321	5889	703	5568	1200	93.17	11.12	88.09	18.98	6532	6034	757	5682	1298	92.38	11.59	86.99	19.87
6774	6732	6331	691	5921	1315	94.04	10.26	87.95	19.53	6376	5891	781	5517	1339	92.39	12.25	86.53	21.00
6784	4730	4346	547	4146	827	91.88	11.56	87.65	17.48	4858	4401	614	4183	931	90.59	12.64	86.11	19.16
6800	6658	5562	1228	5144	1641	83.54	18.44	77.26	24.65	6805	5467	1454	4975	1926	80.34	21.37	73.11	28.30
