Z05_RES	NAME	typologie_ofs	typologie_binaire	PFNONE	PFOBL	PFGEN	PFPROF	PFMAT	PFPRSF	PFPRSS	PFBAC	PFMAS	PFPHD	PFS	PFPRES	ADO	ADUNE	NADFM	NADHO	NADRET	NADINV	NADOTH	ADM	ADF	AD3PRIM	AD3SEC	AD3TERT	ADD1AGR	ADD2EXT	ADD2BAS	ADD2HEA	ADD2LIT	ADD2IS	ADD2CST	ADD3TRD	ADD3TRS	ADD3ACC	ADD3IT	ADD3FIN	ADD3RE	ADD3PRO	ADD3SUP	ADD3ADM	ADD3EDU	ADD3HC	ADD3SOC	ADD3REC
446	Tramelan-Tavannes	Espace hors influence des centres urbains	N	0.020594966	0.213068904	0.087210781	0.320239003	0.064708874	0.049961861	0.022247648	0.027714213	0.02834986	0.004576659	0.109712688	0.051614544	0.943765281	0.056234719	0.101222494	0.082640587	0.384596577	0.036430318	0.027872861	0.535452323	0.464547677	0.040876777	0.40313981	0.555983412	0.040876777	0.001481043	0.030509479	0.018957346	0.286433649	0.005627962	0.060130332	0.129146919	0.047689573	0.020734597	0.009478673	0.031990521	0.002369668	0.040580569	0.007109005	0.031990521	0.077902844	0.053317536	0.07049763	0.010959716
492	Erlach-Jolimont	Espace hors influence des centres urbains	N	0.003643817	0.120929173	0.080163972	0.364153951	0.06627192	0.096333409	0.026189934	0.02846732	0.049419267	0.017080392	0.106809383	0.040537463	0.961321817	0.038678183	0.062335712	0.046564026	0.282012768	0.008261359	0.009012392	0.559894855	0.440105145	0.094679892	0.253381425	0.651938683	0.094679892	0.003606853	0.024797115	0.024346258	0.119477006	0.007213706	0.073940487	0.135707845	0.047790803	0.029305681	0.009918846	0.023895401	0.007213706	0.061316501	0.014878269	0.080703336	0.048692516	0.073940487	0.079350766	0.015329125
496	Ins-Seeland	Espace hors influence des centres urbains	N	0.021800502	0.184755332	0.076380176	0.309912171	0.061794228	0.088143036	0.029485571	0.012390213	0.051913425	0.007057716	0.11402133	0.042346299	0.966542751	0.033457249	0.063993627	0.060010621	0.299256506	0.010621349	0.008497079	0.53212958	0.46787042	0.090881551	0.205695244	0.703423205	0.090881551	0.00212057	0.034232051	0.034232051	0.05059073	0	0.084519842	0.21660103	0.027567404	0.02423508	0.02423508	0.031505604	0.021508634	0.049984853	0.021508634	0.08300515	0.046955468	0.066343532	0.059375947	0.002726447
533	Bätterkinden-Limpachtal	Espace sous influence des centres urbains	N	0.014252807	0.103656781	0.077886553	0.383242154	0.059602649	0.109559459	0.029225453	0.021163259	0.030953067	0.013676936	0.10754391	0.049236971	0.982370225	0.017629775	0.060479922	0.060969638	0.282566112	0.013712047	0.018364349	0.530607248	0.469392752	0.069163477	0.194915254	0.735921268	0.069163477	0	0.030617824	0.024876982	0.061235648	0.006014215	0.072170585	0.171405139	0.053034445	0.036905413	0.03827228	0.055221432	0.006834336	0.05740842	0.032804811	0.060142154	0.051940951	0.07572444	0.057135046	0.012301804
538	Fraubrunnen-Lyssach	Espace sous influence des centres urbains	N	0.018820075	0.126134544	0.085290977	0.379738388	0.041510945	0.102642819	0.031233316	0.022156967	0.028430326	0.004004271	0.100507208	0.059530166	0.98273512	0.01726488	0.052476147	0.049068605	0.28214448	0.022944116	0.023398455	0.551794639	0.448205361	0.035163167	0.252213509	0.712623324	0.035163167	0	0.056159879	0.041234505	0.066531748	0.009865925	0.078421452	0.189476347	0.055147989	0.042499368	0.019731849	0.045788009	0.01568429	0.05211232	0.018214015	0.074879838	0.043258285	0.059701493	0.058689603	0.009865925
540	Jegenstorf	Espace sous influence des centres urbains	N	0.014212712	0.096454807	0.079207921	0.338709677	0.05892686	0.110188438	0.025710636	0.024752475	0.067071223	0.014691792	0.104758863	0.065314596	0.978754795	0.021245205	0.076128652	0.064030688	0.372676306	0.018884627	0.009147241	0.514901151	0.485098849	0.027147766	0.165635739	0.807216495	0.027147766	0.005498282	0.034707904	0.013745704	0.057044674	0.00790378	0.046735395	0.148453608	0.043986254	0.037457045	0.041924399	0.058075601	0.016838488	0.084536082	0.024742268	0.09347079	0.064261168	0.07628866	0.064604811	0.02371134
544.1	Moosseedorf Münchenbuchsee-Laubberg	Espace des centres urbains	U	0.036094054	0.144076681	0.068294144	0.359742399	0.064699715	0.085966752	0.022914483	0.025610304	0.032649393	0.008087464	0.104388198	0.047476412	0.955289836	0.044710164	0.081622043	0.105016896	0.270860411	0.021575253	0.017416168	0.495710944	0.504289056	0.017899761	0.193317422	0.788782816	0.017899761	0	0.047732697	0.022374702	0.058472554	0.009844869	0.054892601	0.130071599	0.048031026	0.056980907	0.052207637	0.055190931	0.023866348	0.072792363	0.031921241	0.082935561	0.04146778	0.07428401	0.074880668	0.018794749
546.1	Münchenbuchsee Dorf	Espace sous influence des centres urbains	N	0.017955584	0.122853993	0.071034809	0.339581036	0.076704993	0.091037959	0.03323358	0.030083478	0.056544338	0.014490471	0.097023153	0.049456607	0.955111572	0.044888428	0.056305138	0.063051375	0.259989621	0.023611832	0.015049299	0.501816295	0.498183705	0.009759073	0.201280878	0.788960049	0.009759073	0	0.046660567	0.016773407	0.057029582	0.014638609	0.066178713	0.116193962	0.063738945	0.038121378	0.064958829	0.038731321	0.016163464	0.07410796	0.044830741	0.082647149	0.063738945	0.069838365	0.047880451	0.017078378
551	Schönbühl	Espace des centres urbains	U	0.011929107	0.12133606	0.072256305	0.38275392	0.067484663	0.079754601	0.024539877	0.019086571	0.046864349	0.008179959	0.091854124	0.073960464	0.959564095	0.040435905	0.062517924	0.046745053	0.270719816	0.025236593	0.01605965	0.53742472	0.46257528	0.016262861	0.195818121	0.787919018	0.016262861	0	0.048456688	0.01294391	0.061400597	0.010620644	0.062396283	0.154663126	0.050448058	0.054762695	0.057417856	0.060073017	0.004978427	0.074344507	0.066379024	0.084633256	0.0408231	0.059741122	0.05376701	0.004978427
553	Utzenstorf	Espace hors influence des centres urbains	N	0.014933732	0.13048348	0.073921971	0.39611723	0.058054881	0.082695539	0.027814075	0.021653911	0.022400597	0.01362703	0.095949225	0.062348329	0.966900064	0.033099936	0.070655633	0.076384468	0.271164863	0.014958625	0.013049013	0.534691279	0.465308721	0.029695886	0.272629696	0.697674419	0.029695886	0	0.079069767	0.016457961	0.088729875	0.016815742	0.071556351	0.170304114	0.068694097	0.047584973	0.035062612	0.057602862	0.005366726	0.04686941	0.034347048	0.046511628	0.048300537	0.054382826	0.041860465	0.016457961
