adv_id	lat	lng	nombre_pieces	surface_habitable	loyer_mois
103074236	47.4753335	7.7461087	4.5	105	1990
103075476	47.3336501	8.5317566	2.5	70	1945
103077507	47.704688	8.654066	1	34	690
103079505	47.4918327	8.2564543	4.5	94	1689
103081774	46.3612213	6.9286885	5.5	133	2210
103082898	47.25598	8.60813	5.5	135	3150
103086603	47.574215	7.839734	4.5	120	2170
103086659	47.1674717	8.5247477	1.5	30	2800
103087494	47.3493093	7.9107085	3.5	75	1300
103087852	47.563698	7.837907	2.5	109	1830
103088464	47.42403	8.5414	3.5	141	3395
103089136	47.5546668	7.6123694	2	52	1260
103089625	47.0189461	7.5118789	3.5	79	1580
103089881	47.575401	7.589344	3	65	1420
103092792	46.007779	8.947117	3.5	96	1600
103093885	47.2890211	7.9441372	4.5	150	1960
103094079	47.426489	9.361813	3.5	77	1555
103094812	47.178953	8.705706	3.5	92	2200
103099406	47.54929	7.59526	4.5	120	3250
103099766	47.5611463	7.5755851	3	73	1620
103102540	47.62556	9.2431	5.5	234	4800
103102878	47.2269156	7.2049038	3.5	72	890
103104701	47.562103	7.591099	3	70	1670
103105233	47.32673	8.58354	4.5	120	5999
103107597	47.384244	8.529123	1	18	1100
103109442	47.579919	7.651503	4.5	120	2670
103110253	47.372902	8.566724	2.5	75	2608
103111592	46.5768964	6.5378349	5.5	160	3900
103112063	47.2301666	8.9707149	4.5	86	1670
103120593	47.36001	8.55925	6.5	200	5755
103120594	47.28836	8.56631	4.5	140	4382
103121562	47.562425	7.600715	3	68	1545
103122872	46.81304	6.85274	6	150	2100
103124639	47.0453881	7.6207942	4.5	102	1915
103126826	47.437958	9.392423	3	63	1210
103126837	47.364508	8.795098	4	78	1685
103127594	46.8991235	8.2752147	4.5	148	3240
103128529	47.495063	8.262622	4	96	1950
103130025	47.201835	7.530181	4.5	106	1870
103130277	47.2599	8.17935	4.5	91	1350
103131171	47.5697372	7.6083653	4.5	100	2010
103131681	47.202413	8.713179	2	36	1550
103131707	47.33958	8.56861	5	137	5000
103132004	47.3474495	8.2471089	4.5	127	2600
103133631	47.414104	8.546687	2	36	1950
103133729	46.901027	7.498452	5	112	2055
103135515	47.356855	8.625862	3.5	90	1826
103135949	47.0665711	8.3211225	3.5	87	2150
103138049	47.5479786	7.7749027	4.5	122	2640
103138198	47.1713581	7.5782209	3	60	870
103138442	46.8565492	9.5332735	2.5	89	2050
103138882	47.36567	8.55787	1.5	30	2950
103140583	47.65979	8.85887	4.5	128	1690
103140718	47.146984	7.263015	2	40	1055
103142292	47.362103	8.551408	1	30	1790
103142450	47.31093	8.589777	6.5	160	3500
103142912	47.533096	8.255795	3.5	85	1690
103143952	46.25452	6.14543	5	110	4600
103146256	47.4556364	9.5595527	6	90	1500
103146494	45.99654	8.945271	4.5	155	3100
103146577	47.2007796	7.5626713	4.5	112	1455
103148904	47.201467	7.785662	4.5	111	1770
103148970	47.4798826	8.5231254	4.5	140	1962
103149166	46.5507908	6.5482585	6.5	170	3600
103150256	47.542371	7.54617	5.5	140	3200
103150321	47.5697857	7.5785974	2	55	1330
103151740	46.4615583	6.887856	7	200	4500
103151764	47.387217	8.422775	4.5	123	2990
103151895	47.325999	8.488683	4.5	132	2600
103152419	47.5065323	8.6817356	4.5	123	2690
103152876	46.0110243	8.9419516	4.5	144	3850
103153706	47.1794267	8.4290349	3	80	2750
103157266	47.5196539	7.6824764	3.5	69	1580
103157402	47.1357037	7.2457052	1.5	39	815
103159353	47.4309548	8.3472601	5.5	183	3500
103163229	47.523225	7.746677	5.5	176	2335
103163941	45.9877004	8.9218724	5.5	152	4500
103165523	46.8375051	7.6174592	4.5	134	2265
103166004	47.492028	8.187623	3.5	60	1550
103166347	47.3472979	7.916474	3	58	1210
103166348	47.3472979	7.916474	2	37	835
103166379	47.236002	7.654958	2	50	820
103167048	47.436166	9.40398	1	34	630
103167742	47.4728281	9.0389482	4.5	112	1705
103167785	47.428192	9.392305	4	70	1530
103167795	47.433434	9.416272	4.5	101	1760
103167927	47.7088757	8.6283569	2.5	61	1510
103167928	47.7088757	8.6283569	3.5	73	1720
103168219	47.373371	8.526228	3.5	54	3980
103168308	45.8479874	9.028256	3.5	90	1380
103168572	47.3470654	7.9161278	4	74	1420
103169146	47.5381519	7.7374267	5.5	130	2360
103171799	46.754294	7.625613	3	70	1470
103173465	47.1753754	8.9004331	4.5	121	2300
103174687	47.028405	7.503065	4.5	85	1840
103177599	47.137311	7.2511738	3.5	89	2125
103178109	47.41503	9.39038	6	120	1980
103179089	47.4814703	8.2359421	4.5	160	2550
103179180	45.8583881	8.9424227	4.5	120	1650
103179338	47.5003218	8.7361826	4.5	152	3670
103179899	47.1940926	7.5578658	4	80	1190
103181165	47.283509	8.5746974	6.5	180	6212
103181362	47.5571	7.6201	2.5	50	1600
